Artist	Album	ArtistHash	AlbumHash	PathHash
Peter Ilyich Tchaikovsky	Romeo & Juliet, The Nutcracker (von Karajan)	3FEC9CEF4D2604FBB2A5DAAF98C6B279BCB9F9386815DE421DCF00A463F4F028	644B33EA34396090B05CA5F4B3E566A76B7B9480780596BD8275B56BE6017B42	14BEB97CACDC23244D0A6300ADB8F72ED7AA04209E68ED5C3732F3E2093FB2C7
Peter Ilyich Tchaikovsky	Symphony 4 in F minor, Op. 36	3FEC9CEF4D2604FBB2A5DAAF98C6B279BCB9F9386815DE421DCF00A463F4F028	A410AC83AD19575D65D0AB65DD6689B844C963F85441979EF6C78BF4B9041B33	EED63791EB10ADBB59AABA7DD33C985ABC2237F90B397BC73581185279CABBF8
Peter Ilyich Tchaikovsky	Symphony 5 in E minor, Op. 64 (von Karajan)	3FEC9CEF4D2604FBB2A5DAAF98C6B279BCB9F9386815DE421DCF00A463F4F028	392743B77BBB503647F1A75093CD30FA0B42E7FA8CF146EE55B1069D73EB44C9	DFA76B0B6E3D42614D2AF55CDE9AEA36D3875D884C9FD1DAEC7CBA809FEF665C
Peter Ilyich Tchaikovsky	Symphony No. 6, March Slav, 1812 Overture	3FEC9CEF4D2604FBB2A5DAAF98C6B279BCB9F9386815DE421DCF00A463F4F028	1C6B17419F4A609907486183B7ACA1CC320B74D27703EA28948495711589CF05	53376384901F5016D7A7D50F448D5D620A346C001979BC3644C55D9B77C60B18
Peter Ilyich Tchaikovsky	Tchaikovsky, Wieniawski - Violin Concertos	3FEC9CEF4D2604FBB2A5DAAF98C6B279BCB9F9386815DE421DCF00A463F4F028	BB8DF7B9ECCD4FE436C56E4296B96662477F026F0CF322A4D8FDD7D7704B36B5	225997DB9579B973D2A54181B6D298911B24F78739592E780D80D5BE8B087063
Peter Ilyich Tchaikovsky	The Nutcracker Ballet	3FEC9CEF4D2604FBB2A5DAAF98C6B279BCB9F9386815DE421DCF00A463F4F028	6EAE13CCAAFEBF12C4B13C43AFFC181CF95AE875D94F9810F345B13F0FA7F79C	8F740778A90C87A00C3D3C8F6AB98B731496D10BA95278D65826185E22AA74C2
Peter Ilyich Tchaikovsky	Violin Concerto and Other Works	3FEC9CEF4D2604FBB2A5DAAF98C6B279BCB9F9386815DE421DCF00A463F4F028	652FE589CCC36E5DF66FD282E0F76CC4C8900D7D5EB78592786CDC70749B5C8E	2C257A64C9C55BA0784332289C1845FFA3FAB5ED29A91A88A1A2D8BA65D10264
Peter Ilyich Tchaikovsky; Béla Bartók	Serenade & Divertimento	C865020208C60EA533679A6C530D394FB16E81B91F0042E564548F685DBEE66A	93B5E0C19166C17FFA40590D2A57FFCDD4086C51995912D9AFA44676422E8425	D6D4EE0BB8D3A2FF5C7D975797E27A459B9A346CAF383BA86519C76899932053
Peter, Paul & Mary	Flowers and Stones	D4316FB96EC5C8574E775F2C63E5739C824AACC5E9824E92270FD1C51B5AF826	0E499D47E3871D262F0CF628BE2530F6B367F697D5977CCEA88A0B468D2B7E0F	CCE56A2877931725467F3CBE902E61BB19BB8ED87EC2EF7726B281FBB4B609E7
Peter, Paul & Mary	The Very Best of Peter, Paul & Mary	D4316FB96EC5C8574E775F2C63E5739C824AACC5E9824E92270FD1C51B5AF826	8F0099DC02D71AF99039BF3E46C66E8EF6978CF860AC26752E0890016B0534A8	18DD1845EA19785B316FB0F2C826FCFA3E2D79CD67404AC637E1E1516964FF00
Phil Collins	But Seriously	1D07329E7447D70D2E721C578F12AC99FD35CE344895A84C68360B7AC66108B2	71661410A73E8E52672F4E53FB22BA34880EBFD6B264C26305770E8190D6F828	CF95803D188FD1CDF2B5F16B63C4AE7A233E9233C49AB38A627C739ABDDD1B7C
Pittsburgh Piano Trio	Encore! Encore!	AD230A5F817B495677C2BE9531C33F4DBCE70DE0FDFED16BC08DAA0D9A663962	6FD903EE70A53D1EA18039263C498A1AB7F004EF82723E382409D0ACC399999A	358E20431FBE39BE781CD0181E7DA6EEE66EE308370C2E85721368E94A733B27
Preservation Hall Jazz Band	New Orleans, Vol 1	13537FECDA789F0A413EF53258DECF5F3F595C7DFA7657789BB2B5C829FD9C5D	A5F4ABACDEB31DF23F327BA6923BA8A63CBBF62EF77488009D84C4B5DEEF061F	9492740F3E773FF9E9F1AF96B7695D7EE945E8CD145279171C0C16CDB0DA2AD0
Preservation Hall Jazz Band	New Orleans, Vol 2	13537FECDA789F0A413EF53258DECF5F3F595C7DFA7657789BB2B5C829FD9C5D	738D1D23A73AAA143B2CB8C090F6DA7811E06F6D0BC68F266761C24DAAA7941D	EA837E69147F513C0D658AFC3E0EB97194B076EBF8661C2EBE24955C1F6969D8
Preservation Hall Jazz Band	Songs of New Orleans, Part I	13537FECDA789F0A413EF53258DECF5F3F595C7DFA7657789BB2B5C829FD9C5D	063F66D1E43B668203CC4BAD051657E2671A5383635CBE8DA675D3FD0B719C5D	9A8BC8EF17A6FC0B64D10C87E3D1A608851C0E49B5D31E773CB96956004D2A0D
Preservation Hall Jazz Band	Songs of New Orleans, Part II	13537FECDA789F0A413EF53258DECF5F3F595C7DFA7657789BB2B5C829FD9C5D	4396575E9FC8203A8084F24A845B495ECD9AE09C9D45937ED781EEAA8529C88C	BD690B57EF1867296B8997A462A29578444318B43F73FD43894CB1D3E5D90717
Prince	Batman Music from the Motion Picture	9BD2EF7A9DDBB22386F27F5F6885F8EEEF6CDF57E96BBDEF0F9E0421F1EC4654	25DD5777EF52FA24D0BCD33B72ABCA3912AD13539B77DB877167E69A31AF99DC	ECFB16BF6D59D50541738109C67A469E6BEB3A5A285E10CA63BD39A36ABDADD2
Queen	Greatest Hits (Remastered 2011)	A9C3C1F7674502331A5AD3E54592D3EB2FC39CF78BB908004777FF4AC89119E4	DE3D72408736D11F1311963E84DFF1AF65D40147D695DC35400B06669637D544	C8ECFA205B75F346C98A2890CE6B7FE38E6D4C98D543F754BDDD683E033C43B7
Queen	Greatest Hits II (Remastered 2011)	A9C3C1F7674502331A5AD3E54592D3EB2FC39CF78BB908004777FF4AC89119E4	445DF6F270484F2E8CC4990CA61B5B7CB723BCA0A23F7559C71403BCD9BF9558	2B1EA30570252D48585035C6C65539AFD32926F8507C7C7911BB4FE92BDCCAD3
Rachmaninoff; Prokofiev	Rachmaninoff, Prokofiev - Piano Concertos	F20DFCF3F8499F9BA03CB996A445C243D77C80C4E5E69D004C274210CE2DD2E6	AE2F2F7F51634C63D70E0FD783677E51630987BBB254CD9C02CBA188A51A7C58	A21A295497B4EFE6BD907D169A6BA5C6E624078C189C46805E880C7388388438
